Label,left_elbow_angle,right_elbow_angle,left_shoulder_angle,right_shoulder_angle,left_knee_angle,right_knee_angle,angle_for_ardhaChandrasana1,angle_for_ardhaChandrasana2,hand_angle,left_hip_angle,right_hip_angle,neck_angle_uk,left_wrist_angle_bk,right_wrist_angle_bk
Downward Dog,171.4912966837297,169.95065141187513,161.69586323178268,199.75600099746455,180.24415667344303,180.11482104772023,359.3857509535784,0.5870263800992711,5.769885057879652,77.76353191853579,76.86209928167479,14.036243467926484,70.96791437190049,69.40676813185588
Downward Dog,158.5594408968973,162.61452263337569,170.45711921065822,192.38934840071724,175.72988844794094,178.20528525138846,357.785038975134,1.7493014844454255,25.84232165063416,78.28454299671374,71.53748193608621,33.36636600105956,76.83361499232572,69.01882457218746
Downward Dog,168.00916502096075,162.82409638425327,184.81562428608743,176.53177074108288,167.30920950084516,170.0701445827246,358.5535443439429,1.3062170399866695,8.746162262555208,79.09968184864383,77.17157993916952,5.5993393365205755,78.1398673745161,77.9887422775797
Downward Dog,167.14822062987452,165.49507414034957,171.60906888839108,193.10963472183823,187.51380994437903,186.59039006610743,358.08140539581393,1.4720904674969388,8.037146395132861,80.76385983141536,79.86013475218128,340.90650799951436,82.88832140666999,80.34869456693627
Downward Dog,167.891482028325,172.43121545986506,170.75388725443673,191.33136748219087,181.22408252217625,183.6619355755198,358.44140637026396,1.5219153590512626,356.4610576313845,66.80140948635182,69.29096240835096,221.42366562500263,65.72464851284029,67.3357753627062
Downward Dog,171.41637851988605,171.7506558210937,172.83107884780426,183.26234438677608,173.10700998733432,176.7776340456985,359.1499766189089,0.8142683640092737,0.7858497189209461,81.71380281695201,78.82438424462818,6.241914347415046,77.11317957616141,77.6274815363651
Downward Dog,170.3112134396332,163.79400131100573,167.64821267356604,195.27767609540135,181.27657489287984,182.48955292199915,359.10783796811955,0.8263241397292664,345.1889437727473,97.72661761909724,98.77832981574684,217.44365594356057,94.5920979532646,96.40756035340644
Downward Dog,164.07859228252505,161.29237849672398,172.69424046668917,190.4688981374649,177.96593271831088,180.1696809832479,357.49279225742777,2.3606102354105363,3.8568009855898406,75.52970589993411,75.5019930329951,344.7448812969422,74.57783868126134,74.98163936884934
Downward Dog,176.54025062945408,170.75049144590537,177.2279241515231,184.70990285779376,181.5562947628571,180.19045618331936,359.17121516107017,0.7993863712502104,3.113092084983413,73.28292458577248,73.6520981686941,80.90972307917767,73.5324532069973,73.7624296857479
Downward Dog,165.06858282186246,161.1583844921981,182.5448043798131,185.70759320140556,183.16036162604567,182.4396980035281,0.4187759878660507,359.6021190381654,8.6886620571023,72.98490152012103,74.28434163316577,327.7243556854224,78.47418392246932,77.06857837202543
Downward Dog,174.10601585178293,169.96333725426337,175.12335319492632,183.6550175827681,182.86105791436125,179.06913128421166,0.9155276452765228,359.0104353808308,3.27048792318357,75.7240430781805,74.43913375866164,41.185925165709634,76.1096845844486,74.43480248681037
Downward Dog,154.56457836774834,151.0677702973115,170.16683650114632,190.270667244636,172.67983529293852,176.35514297807524,0.1556342530714217,359.7615574021911,359.52940869710477,90.12070722207912,84.68127124037056,190.7842978675626,87.71747699726163,84.31050750374513
Downward Dog,175.98169100640592,169.939310204677,183.57633437499737,175.2720121811578,177.436229788535,173.48757697071213,0.0342473237833392,359.9325932316717,5.435818064299883,81.2538377374448,80.9280218623834,67.24902365721236,82.58554387850651,82.52592751992576
Downward Dog,164.98163936884933,167.64912892225888,172.16447489351145,187.93099993888643,180.42206072309716,179.7825597554178,359.5366735257495,0.4795121937512742,350.42760771404187,102.23423046148407,104.3844957672134,282.9946167919165,102.15643972270276,103.13307201574008
Downward Dog,181.61809453273747,179.66881421158462,169.5808922123717,193.29314921408383,163.1879530832904,175.92158148367247,352.79828251952284,6.400564502372378,9.706652409339709,87.68042636690924,84.52701460274645,65.22485943116808,75.61628473954549,75.95364992859527
Downward Dog,171.54017789753664,171.46923439005187,174.51976146002835,187.30575953331083,173.0862113743822,172.18470645323313,359.1596562481897,0.8113239098124145,356.8201698801358,90.4464515837716,90.05256492058551,252.4075754378184,86.33221194446858,84.8276934882837
Downward Dog,165.2489367342603,165.56793706386406,168.8404498040514,192.31878635374463,176.68905848538856,178.389699397501,358.22165962170834,1.6277666531463906,354.99202810795975,94.48307013554653,94.79795053663338,271.7714697400341,91.21389073958824,91.32537284392218
